Threshold,Precision,Recall,F1,False Positives,False Negatives,True Positives,True Negatives,Estimated Cost
0.1,0.7526881720430108,0.875,0.8092485549132948,23,10,70,45293,123
0.2,0.8414634146341463,0.8625,0.8518518518518519,13,11,69,45303,123
0.3,0.8947368421052632,0.85,0.8717948717948718,8,12,68,45308,128
0.4,0.9166666666666666,0.825,0.868421052631579,6,14,66,45310,146
0.5,0.9411764705882353,0.8,0.8648648648648649,4,16,64,45312,164
0.6,0.9393939393939394,0.775,0.8493150684931506,4,18,62,45312,184
0.7,0.9516129032258065,0.7375,0.8309859154929577,3,21,59,45313,213
0.8,0.9636363636363636,0.6625,0.7851851851851852,2,27,53,45314,272
0.9,0.9473684210526315,0.45,0.6101694915254238,2,44,36,45314,442
